Mazowieckie;Ciechanowski;Glinojeck;94290;Glinojeck;Kościelna 1/przy Kościele
Mazowieckie;Ciechanowski;Glinojeck;94294;Glinojeck;Kościelna 1/przy Kościele
Mazowieckie;Ciechanowski;Glinojeck;88644;Kondrajec Pański;przy Blokach
Mazowieckie;Ciechanowski;Glinojeck;23407;Malużyn;Malużyn 54a-54b
Mazowieckie;Ciechanowski;Glinojeck;28472;Ościsłowo;SPZ ZOZ/obok budynku
Mazowieckie;Ciechanowski;Glinojeck;94295;Ościsłowo;Ościsłowo 81
Mazowieckie;Ciechanowski;Glinojeck;44443;Płaciszewo;Płaciszewo 29b/sklep spożywczy
Mazowieckie;Ciechanowski;Glinojeck;43776;Strzeszewo;przy Sklepie
Mazowieckie;Ciechanowski;Glinojeck;58874;Strzeszewo;przy Sklepie
Mazowieckie;Ciechanowski;Glinojeck;94310;Sulerzyż;Sulerzyż 48
Mazowieckie;Ciechanowski;Glinojeck;94311;Sulerzyż;Sulerzyż 48
Mazowieckie;Ciechanowski;Glinojeck;94286;Wola Młocka;Wola Młocka 35
Mazowieckie;Ciechanowski;Gołymin-Ośrodek;49048;Gołymin Ośrodek;Cmentarz
Mazowieckie;Ciechanowski;Gołymin-Ośrodek;56055;Gołymin Ośrodek;przy Urzędzie Gminy
Mazowieckie;Ciechanowski;Gołymin-Ośrodek;67713;Gołymin Ośrodek;Rynek
Mazowieckie;Ciechanowski;Gołymin-Ośrodek;86737;Wróblewo;Wróblewo 22
Mazowieckie;Ciechanowski;Grudusk;24901;Grudusk;Nowa
Mazowieckie;Ciechanowski;Grudusk;30889;Grudusk;Marii Konopnickiej OSP
Mazowieckie;Ciechanowski;Grudusk;40257;Grudusk;Marii Konopnickiej OSP
Mazowieckie;Ciechanowski;Grudusk;54011;Grudusk;Ciechanowska
Mazowieckie;Ciechanowski;Grudusk;86739;Grudusk;Ciechanowska
Mazowieckie;Ciechanowski;Grudusk;50093;Łysakowo;przystanek PKS
Mazowieckie;Ciechanowski;Ojrzeń;54937;Kraszewo;Cmentarz
Mazowieckie;Ciechanowski;Ojrzeń;74109;Kraszewo;przy szkole
Mazowieckie;Ciechanowski;Ojrzeń;74107;Luberadz;Luberadz 2A OSP
Mazowieckie;Ciechanowski;Ojrzeń;74105;Młock;Młock 72 szkoła
Mazowieckie;Ciechanowski;Ojrzeń;20761;Ojrzeń;Przedszkolna 7
Mazowieckie;Ciechanowski;Ojrzeń;74110;Ojrzeń;Przedszkolna 7
Mazowieckie;Ciechanowski;Ojrzeń;74106;Żochy;świetlica wiejska
Mazowieckie;Ciechanowski;Opinogóra;93864;Kołaczków;Szkolna 2
Mazowieckie;Ciechanowski;Opinogóra;93865;Kołaczków;Szkolna 2
Mazowieckie;Ciechanowski;Opinogóra;38740;Opinogóra;Przystanek PKS
Mazowieckie;Ciechanowski;Opinogóra;47079;Opinogóra;Plac Kościelny
Mazowieckie;Ciechanowski;Opinogóra;86740;Opinogóra;Przystanek PKS
Mazowieckie;Ciechanowski;Opinogóra;67717;Pałuki;Przy Kościele
Mazowieckie;Ciechanowski;Regimin;40454;Regimin;Przy SzkolePodstawowej
Mazowieckie;Ciechanowski;Regimin;44673;Regimin;Przy Kościele
Mazowieckie;Ciechanowski;Regimin;45060;Regimin;Parking Przy Urzędzie
Mazowieckie;Ciechanowski;Sońsk;72955;Bądkowo;Bądkowo 43
Mazowieckie;Ciechanowski;Sońsk;54116;Ciemieniewko;Ciemieniewko 36b/przy Kościele
Mazowieckie;Ciechanowski;Sońsk;68584;Gąsocin;Okulna 19
Mazowieckie;Ciechanowski;Sońsk;74111;Gąsocin;Zacisze 29
Mazowieckie;Ciechanowski;Sońsk;74112;Gąsocin;Gminna Bibliotka
Mazowieckie;Ciechanowski;Sońsk;88642;Gąsocin;Zacisze 29
Mazowieckie;Ciechanowski;Sońsk;74115;Gołodczyzna;sklep Lewiatan
Mazowieckie;Ciechanowski;Sońsk;28000;Sobokleszcz;Piekarnia
Mazowieckie;Ciechanowski;Sońsk;72956;Sońsk;przy Ośrodku Zdrowia
Mazowieckie;Ciechanowski;Sońsk;88639;Sońsk;OSP
Mazowieckie;Ciechanowski;Sońsk;88640;Sońsk;przy Ośrodku Zdrowia
Mazowieckie;Garwoliński;Borowie;75354;Borowie;Kościelna
Mazowieckie;Garwoliński;Borowie;75355;Borowie;Garwolińska: przychodnia zdrowia
Mazowieckie;Garwoliński;Borowie;75360;Głosków;przy szkole podstawowej
